experiment,f1_score,accuracy,vectorizer,max_features,ngram_range,title_weight,use_features,model,strategy
exp4_grid_search,0.8351405676166618,0.8344878544379791,tfidf,20000.0,"(1, 1)",1.5,True,logreg,
exp4_grid_search,0.8347565093620671,0.8344878544379791,tfidf,15000.0,"(1, 3)",1.5,True,logreg,
exp4_grid_search,0.8342818138527885,0.8338413226193775,tfidf,20000.0,"(1, 3)",1.5,True,logreg,
exp4_grid_search,0.8340276016668648,0.8334718758658908,tfidf,15000.0,"(1, 1)",1.5,True,logreg,
exp4_grid_search,0.8339279693095443,0.8334718758658908,tfidf,20000.0,"(1, 2)",1.5,True,logreg,
exp4_grid_search,0.8336184889686903,0.8331947908007759,tfidf,15000.0,"(1, 2)",1.5,True,logreg,
exp4_grid_search,0.8320927603023228,0.8315322804100859,tfidf,10000.0,"(1, 1)",1.5,True,logreg,
exp4_grid_search,0.831227565584575,0.8310704719682276,tfidf,10000.0,"(1, 2)",1.5,True,logreg,
exp4_grid_search,0.8305584504056228,0.8302392167728826,tfidf,10000.0,"(1, 3)",1.5,True,logreg,
exp3_manual_features,0.8276472523753318,0.8270065576798744,tfidf,,,,True,logreg,Indicateurs + TF-IDF
exp2b_title_weighting,0.824762086650456,0.8243280687170962,tfidf,10000.0,"(1, 2)",1.5,False,logreg,
exp4_grid_search,0.8242237762397573,0.8238662602752378,tfidf,5000.0,"(1, 1)",1.5,True,logreg,
exp2b_title_weighting,0.8236371578858428,0.8232197284566362,tfidf,10000.0,"(1, 2)",2.0,False,logreg,
exp1_count_vs_tfidf,0.8230861607420011,0.8224808349496628,,,,,,,
exp3_manual_features,0.8230861607420011,0.8224808349496628,tfidf,,,,False,logreg,TF-IDF seul
exp2b_title_weighting,0.8230861607420011,0.8224808349496628,tfidf,10000.0,"(1, 2)",1.0,False,logreg,
exp3_manual_features,0.8226552906497296,0.8218343031310612,count,,,,True,logreg,Indicateurs + CountVectorizer
exp4_grid_search,0.8221314908260258,0.8218343031310612,tfidf,5000.0,"(1, 2)",1.5,True,logreg,
exp2b_title_weighting,0.8213721040604987,0.8209106862473446,tfidf,10000.0,"(1, 2)",2.5,False,logreg,
exp4_grid_search,0.8182369681183534,0.8179551122194514,tfidf,5000.0,"(1, 3)",1.5,True,logreg,
exp2b_title_weighting,0.8170445732127235,0.8162926018287614,tfidf,10000.0,"(1, 2)",3.0,False,logreg,
exp1_count_vs_tfidf,0.8159171153962629,0.8143530063729565,,,,,,,
exp3_manual_features,0.8159171153962629,0.8143530063729565,count,,,,False,logreg,CountVectorizer seul
exp3_manual_features,0.2918662945060547,0.3397986515193498,None,,,,True,logreg,Indicateurs seuls
